EMG Data
No	Raw Data	Time(Microseconds)
481	440	2405631
482	509	2410631
483	496	2415631
484	432	2420631
485	469	2425631
486	484	2430631
487	409	2435630
488	421	2440630
489	464	2445631
490	404	2450631
491	366	2455631
492	427	2460631
493	388	2465630
494	343	2470630
495	384	2475631
496	408	2480630
497	340	2485631
498	356	2490631
499	400	2495630
500	366	2500630
501	361	2505631
502	410	2510630
503	391	2515631
504	344	2520631
505	403	2525631
506	421	2530631
507	364	2535631
508	391	2540631
509	439	2545631
510	393	2550631
511	376	2555631
512	444	2560631
513	424	2565631
514	375	2570631
515	422	2575631
516	456	2580631
517	393	2585631
518	417	2590631
519	468	2595631
520	407	2600631
521	372	2605631
522	452	2610631
523	432	2615631
524	383	2620631
525	421	2625631
526	438	2630631
527	370	2635631
528	400	2640631
529	442	2645631
530	396	2650631
531	394	2655631
532	446	2660631
533	430	2665631
534	377	2670631
535	417	2675631
536	456	2680631
537	387	2685631
538	404	2690633
539	434	2695633
540	387	2700632
541	392	2705632
542	443	2710633
543	464	2715633
544	369	2720633
545	374	2725633
546	404	2730632
547	350	2735632
548	448	2740632
549	562	2745632
550	366	2750633
551	326	2755633
552	401	2760632
553	465	2765632
554	541	2770632
555	528	2775632
556	508	2780633
557	312	2785632
558	496	2790632
559	790	2795632
560	546	2800632
561	478	2805632
562	378	2810632
563	545	2815633
564	760	2820632
565	549	2825633
566	374	2830633
567	595	2835633
568	898	2840633
569	447	2845633
570	130	2850633
571	426	2855634
572	603	2860633
573	561	2865633
574	519	2870633
575	148	2875633
576	123	2880633
577	258	2885633
578	564	2890633
579	721	2895633
580	211	2900633
581	61	2905561
582	542	2910633
583	452	2915634
584	181	2920633
585	763	2925633
586	386	2930633
587	109	2935633
588	119	2940633
589	547	2945633
590	457	2950633
591	419	2955633
592	116	2960633
593	411	2965633
594	227	2970633
595	120	2975633
596	666	2980633
597	337	2985633
598	196	2990633
599	634	2995633
600	174	3000634
601	186	3005634
602	761	3010634
603	455	3015634
604	165	3020635
605	263	3025635
606	460	3030635
607	303	3035635
608	110	3040635
609	701	3045635
610	475	3050634
611	132	3055635
612	475	3060635
613	627	3065635
614	758	3070635
615	226	3075635
616	166	3080634
617	763	3085635
618	659	3090634
619	182	3095634
620	647	3100635
621	517	3105635
622	166	3110634
623	556	3115635
624	822	3120635
625	396	3125635
626	497	3130634
627	272	3135635
628	313	3140634
629	487	3145635
630	502	3150635
631	351	3155635
632	536	3160635
633	886	3165635
634	300	3170635
635	87	3175563
636	468	3180635
637	856	3185635
638	495	3190635
639	169	3195635
640	259	3200635
641	364	3205636
642	625	3210635
643	706	3215635
644	400	3220635
645	434	3225635
646	544	3230635
647	523	3235636
648	730	3240635
649	556	3245635
650	454	3250635
651	467	3255635
652	570	3260636
653	613	3265636
654	527	3270635
655	640	3275635
656	644	3280635
657	501	3285635
658	530	3290636
659	624	3295636
660	598	3300635
661	538	3305635
662	638	3310635
663	609	3315635
664	530	3320637
665	576	3325636
666	600	3330637
667	530	3335637
668	533	3340636
669	584	3345636
670	531	3350637
671	496	3355637
672	544	3360637
673	521	3365636
674	459	3370636
675	495	3375636
676	515	3380636
677	436	3385636
678	441	3390637
679	493	3395637
680	434	3400636
681	398	3405636
682	456	3410636
683	435	3415637
684	370	3420637
685	420	3425636
686	444	3430636
687	377	3435636
688	401	3440637
689	434	3445636
690	373	3450636
691	354	3455637
692	424	3460636
693	413	3465637
694	362	3470638
695	415	3475636
696	441	3480637
697	378	3485638
698	392	3490638
699	454	3495637
700	411	3500637
701	376	3505638
702	444	3510638
703	436	3515638
704	386	3520638
705	462	3525638
706	478	3530638
707	412	3535637
708	427	3540638
709	486	3545638
710	435	3550638
711	415	3555638
712	479	3560638
713	461	3565637
714	420	3570638
715	473	3575638
716	499	3580638
717	449	3585637
718	460	3590638
719	515	3595638
720	469	3600638
721	450	3605638
722	510	3610637
723	498	3615638
724	450	3620637
725	494	3625638
726	511	3630638
727	441	3635638
728	474	3640639
729	542	3645638
730	479	3650639
731	451	3655639
732	497	3660638
733	483	3665638
734	435	3670639
735	476	3675639
736	484	3680638
737	446	3685639
738	457	3690638
739	495	3695638
740	468	3700639
741	500	3705639
742	537	3710639
743	439	3715638
744	402	3720638
745	557	3725639
746	761	3730639
747	458	3735639
748	442	3740639
749	438	3745638
750	455	3750638
751	588	3755638
752	537	3760639
753	448	3765639
754	439	3770639
755	493	3775639
756	326	3780638
757	325	3785639
758	601	3790639
759	703	3795640
760	723	3800639
761	707	3805639
762	216	3810640
763	503	3815639
764	644	3820640
765	413	3825639
766	421	3830640
767	594	3835640
768	702	3840639
769	217	3845640
770	424	3850639
771	804	3855639
772	504	3860640
773	144	3865639
774	579	3870639
775	747	3875640
776	404	3880639
777	475	3885639
778	693	3890640
779	645	3895640
780	179	3900640
781	239	3905640
782	664	3910640
783	698	3915639
784	238	3920640
785	240	3925640
786	794	3930639
787	400	3935640
788	424	3940639
789	276	3945639
790	387	3950640
791	739	3955640
792	239	3960640
793	671	3965640
794	695	3970641
795	211	3975640
796	609	3980640
797	762	3985640
798	500	3990640
799	195	3995640
800	632	4000640
801	472	4005641
802	499	4010640
803	299	4015640
804	538	4020640
805	480	4025640
806	267	4030640
807	740	4035641
808	769	4040640
809	227	4045640
810	67	4050567
811	430	4055640
812	857	4060640
813	505	4065640
814	174	4070640
815	573	4075640
816	841	4080640
817	252	4085640
818	93	4090568
819	689	4095640
820	396	4100640
821	112	4105640
822	622	4110641
823	818	4115640
824	433	4120642
825	310	4125641
826	612	4130642
827	823	4135641
828	283	4140641
829	299	4145641
830	211	4150642
831	159	4155642
832	692	4160642
833	871	4165641
834	268	4170642
835	222	4175642
836	286	4180641
837	376	4185642
838	779	4190642
839	679	4195642
840	322	4200642
841	350	4205642
842	473	4210642
843	558	4215642
844	610	4220641
845	536	4225641
846	521	4230642
847	496	4235642
848	695	4240642
849	615	4245642
850	396	4250641
851	445	4255642
852	575	4260641
853	634	4265642
854	527	4270642
855	539	4275642
856	562	4280642
857	510	4285642
858	538	4290642
859	640	4295643
860	551	4300642
861	498	4305643
862	576	4310642
863	574	4315643
864	509	4320643
865	558	4325642
866	590	4330642
867	513	4335642
868	534	4340643
869	597	4345642
870	536	4350643
871	485	4355643
872	546	4360642
873	532	4365643
874	478	4370642
875	519	4375643
876	540	4380643
877	497	4385642
878	488	4390642
879	530	4395643
880	486	4400642
881	457	4405643
882	510	4410643
883	503	4415642
884	450	4420642
885	502	4425643
886	530	4430642
887	458	4435643
888	479	4440643
889	542	4445642
890	501	4450644
891	471	4455644
892	543	4460643
893	544	4465643
894	491	4470644
895	539	4475643
896	575	4480644
897	509	4485644
898	527	4490643
899	598	4495643
900	546	4500643
901	503	4505643
902	569	4510644
903	562	4515644
904	498	4520643
905	556	4525643
906	580	4530644
907	522	4535643
908	534	4540644
909	588	4545643
910	544	4550643
911	522	4555643
912	586	4560643
913	568	4565643
914	518	4570644
915	566	4575644
916	578	4580643
917	512	4585643
918	531	4590643
919	610	4595644
920	588	4600644
921	518	4605644
922	543	4610645
923	527	4615645
924	500	4620644
925	637	4625645
926	544	4630645
927	454	4635644
928	495	4640644
929	627	4645645
930	630	4650645
931	483	4655644
932	493	4660645
933	638	4665645
934	511	4670645
935	564	4675644
936	568	4680644
937	499	4685645
938	496	4690644
939	523	4695645
940	491	4700645
941	603	4705645
942	488	4710645
943	511	4715644
944	749	4720645
945	456	4725644
946	427	4730645
947	367	4735644
948	754	4740645
949	903	4745645
950	301	4750645
951	365	4755645
952	686	4760645
953	271	4765645
954	365	4770645
955	518	4775645
956	603	4780645
957	759	4785645
958	796	4790645
959	320	4795645
960	306	4800645
961	442	4805645
962	225	4810645
963	418	4815645
964	723	4820645
965	341	4825645
966	98	4830573
967	114	4835645
968	380	4840645
969	842	4845645
970	364	4850645
971	167	4855645
972	309	4860645
973	807	4865645
974	522	4870645
975	146	4875645
976	237	4880645
977	743	4885645
978	591	4890646
979	164	4895645
980	337	4900645
981	751	4905645
982	297	4910645
983	122	4915647
984	639	4920645
985	294	4925645
986	83	4930574
987	516	4935647
988	764	4940646
989	223	4945646
990	88	4950574
991	721	4955647
992	558	4960647
993	154	4965647
994	352	4970646
995	596	4975646
996	361	4980647
997	258	4985647
998	273	4990646
999	726	4995647
1000	474	5000719
